task_id,has_motif,grid_count,max_dimension,unique_colors,average_density
0b17323b,0,6,15,2,0.01851851851851852
11e1fe23,0,6,14,7,0.03643578643578644
310f3251,0,12,15,7,0.2069212962962963
494ef9d7,0,10,10,8,0.3088571428571429
5783df64,0,8,9,9,0.5902777777777778
5af49b42,0,8,18,9,0.09517801203321566
66e6c45b,0,6,4,8,0.25
72207abc,0,8,29,5,0.06745311554748942
833966f4,0,6,5,9,0.9333333333333332
9d9215db,0,8,19,5,0.060941828254847646
a699fb00,0,8,10,2,0.15625
a9f96cdd,0,10,5,5,0.12
ca8de6ea,0,8,5,9,0.6799999999999999
cdecee7f,0,8,10,9,0.46930555555555553
d23f8c26,0,8,7,9,0.30579365079365084
d364b489,0,6,10,5,0.16
d90796e8,0,8,9,4,0.21315192743764172
dc433765,0,18,11,2,0.10820824197447572
e21d9049,0,6,20,5,0.08103535353535353
f45f5ca7,0,8,10,4,0.07500000000000001
f8b3ba0a,0,10,16,6,0.6420611439842209
